round_epochs,val_loss,val_acc,loss,acc,first_layer,second_layer,batch_size,epochs
320,0.045300751,0.984478936,0.012929292,0.997621313,512,128,64,320
320,0.084814721,0.985587583,0.034164259,0.997145576,512,64,128,320
320,0.051359932,0.984478936,0.030677198,0.997145576,128,256,64,320
320,0.077986867,0.984478936,0.035951459,0.996669838,128,512,128,320
320,0.063670225,0.984478936,0.023897003,0.996669838,256,128,64,320
320,0.038070834,0.986696231,0.012444523,0.996669838,512,512,64,320
320,0.044367855,0.983370288,0.013639999,0.996194101,512,256,64,320
320,0.080340136,0.987804878,0.026755793,0.996194101,512,128,128,320
320,0.043093856,0.983370288,0.015496718,0.996194101,256,512,64,320
160,0.100379866,0.975609756,0.041061453,0.996194101,128,512,64,160
320,0.088758881,0.982261641,0.031317898,0.996194101,64,512,64,320
320,0.072836755,0.986696231,0.033358738,0.996194101,256,64,64,320
320,0.082173547,0.981152993,0.028289536,0.996194101,128,128,128,320
320,0.122247041,0.977827051,0.053330966,0.996194101,256,128,128,320
320,0.13156252,0.980044346,0.050226754,0.996194101,256,256,128,320
320,0.058923223,0.985587583,0.028361272,0.995718364,512,64,64,320
320,0.079148443,0.982261641,0.03123801,0.995718364,64,128,64,320
320,0.076554368,0.987804878,0.030204677,0.995718363,128,512,64,320
320,0.101232606,0.980044346,0.029714243,0.995718363,16,512,64,320
320,0.080498221,0.982261641,0.038181856,0.995718363,64,256,64,320
320,0.139184447,0.981152995,0.061599408,0.995718363,512,256,256,320
320,0.090763791,0.980044346,0.040260771,0.995718363,128,256,128,320
320,0.12271453,0.982261641,0.04355069,0.995242626,512,512,128,320
320,0.080449352,0.983370288,0.034170104,0.995242626,32,512,64,320
320,0.137581164,0.980044346,0.050048149,0.995242626,512,256,128,320
320,0.126330464,0.982261641,0.046445048,0.995242626,256,512,128,320
320,0.047751502,0.984478936,0.014596178,0.995242626,256,256,64,320
320,0.059288328,0.983370288,0.0323964,0.995242626,256,32,64,320
320,0.083697469,0.983370288,0.042221982,0.995242626,128,64,64,320
320,0.078448497,0.980044346,0.03232507,0.995242626,512,16,64,320
320,0.112329147,0.982261641,0.042649079,0.994766889,128,128,64,320
320,0.07857314,0.977827051,0.045888558,0.994766889,64,32,128,320
320,0.062482696,0.978935698,0.028848478,0.994766889,512,8,128,320
320,0.054024285,0.983370288,0.022817195,0.994766889,512,8,64,320
320,0.081297785,0.984478936,0.035711103,0.994766889,512,32,128,320
320,0.095340498,0.978935698,0.045102334,0.994291152,64,512,128,320
320,0.059353459,0.983370288,0.033689965,0.994291151,32,32,64,320
320,0.132418959,0.977827055,0.057419851,0.994291151,512,128,256,320
320,0.067144041,0.983370288,0.038965052,0.994291151,128,16,64,320
320,0.057778007,0.982261641,0.026866661,0.994291151,512,32,64,320
160,0.123399948,0.982261641,0.055488029,0.994291151,512,256,64,160
160,0.068393989,0.978935698,0.035506438,0.994291151,512,512,64,160
320,0.128678784,0.981152994,0.051976364,0.994291151,512,512,256,320
320,0.112089026,0.974501109,0.05311482,0.994291151,64,256,128,320
320,0.082243646,0.978935698,0.045900293,0.993815414,32,512,128,320
320,0.14908479,0.976718405,0.059214748,0.993815414,256,512,256,320
320,0.096755527,0.983370288,0.049169922,0.993815414,32,64,64,320
320,0.106430629,0.982261641,0.054759952,0.993815414,128,32,64,320
320,0.13572989,0.978935699,0.059581887,0.993815414,256,256,256,320
320,0.073496374,0.980044346,0.027729317,0.993339677,256,8,64,320
320,0.082512139,0.983370288,0.035662533,0.993339677,32,256,64,320
320,0.076353761,0.980044346,0.038258771,0.993339676,64,64,64,320
320,0.077704134,0.984478936,0.04525183,0.993339676,32,8,64,320
320,0.114765947,0.975609757,0.062163553,0.99286394,512,512,512,320
320,0.110415097,0.984478936,0.04945342,0.992863939,256,32,128,320
320,0.097160242,0.981152994,0.056009009,0.992863939,512,64,256,320
320,0.093092415,0.982261641,0.044024604,0.992863939,64,32,64,320
320,0.092902408,0.976718404,0.042105088,0.992863939,128,64,128,320
320,0.074095965,0.982261641,0.03632858,0.992863938,16,64,64,320
320,0.079870386,0.981152993,0.038752188,0.992388202,32,128,64,320
320,0.075105008,0.981152993,0.040963248,0.992388202,256,16,64,320
320,0.087851183,0.975609756,0.037721902,0.992388202,16,256,64,320
160,0.08469536,0.985587583,0.054222627,0.992388202,256,128,64,160
320,0.077694974,0.978935698,0.046847317,0.992388202,256,64,128,320
320,0.065128018,0.978935698,0.032534635,0.991912465,128,8,64,320
160,0.096618771,0.981152993,0.050919141,0.991912465,512,512,128,160
320,0.078407755,0.982261641,0.050448848,0.991912465,16,8,64,320
160,0.110517513,0.975609756,0.058895799,0.991912465,32,512,64,160
320,0.098469413,0.977827051,0.065495268,0.991912464,64,16,128,320
320,0.087159668,0.978935699,0.050870836,0.991912464,512,32,256,320
320,0.088705733,0.976718404,0.050465513,0.991912464,32,128,128,320
320,0.088378204,0.975609756,0.057506915,0.991912464,256,8,128,320
320,0.072090644,0.980044346,0.037547952,0.991912464,16,128,64,320
320,0.058398642,0.982261641,0.042313757,0.991912464,8,512,128,320
320,0.087371788,0.980044346,0.035949437,0.991436727,512,16,128,320
160,0.144697525,0.977827051,0.068687446,0.991436727,512,256,128,160
320,0.088779938,0.977827053,0.047103507,0.991436727,64,512,256,320
320,0.068212504,0.980044346,0.038780203,0.991436727,64,8,64,320
160,0.143302319,0.978935698,0.059941182,0.991436727,256,256,64,160
320,0.09833196,0.97450111,0.053283516,0.991436727,128,512,256,320
320,0.082460244,0.981152993,0.058800322,0.991436727,128,8,128,320
320,0.07941492,0.981152993,0.057650639,0.99096099,256,16,128,320
320,0.076493591,0.978935698,0.048139094,0.99096099,16,128,128,320
320,0.088083143,0.981152993,0.058431612,0.99096099,128,16,128,320
320,0.098623372,0.976718404,0.051214842,0.99096099,512,16,256,320
160,0.09622392,0.977827051,0.060106006,0.99096099,256,32,64,160
320,0.073399032,0.981152993,0.050506089,0.99096099,32,64,128,320
160,0.145299683,0.982261641,0.065843375,0.99096099,64,512,64,160
160,0.080850064,0.983370288,0.053976413,0.99096099,512,64,64,160
320,0.092162246,0.978935698,0.043158676,0.99096099,8,512,64,320
320,0.090748496,0.983370288,0.056541313,0.99096099,16,512,128,320
320,0.081514919,0.981152993,0.050443887,0.99096099,128,32,128,320
160,0.167075017,0.972283815,0.083459469,0.99096099,512,512,256,160
320,0.087948506,0.977827051,0.047649868,0.990485252,64,128,128,320
160,0.131635929,0.975609756,0.072680732,0.990485252,128,256,64,160
320,0.083080878,0.978935698,0.049070088,0.990485252,32,16,64,320
160,0.072083964,0.985587583,0.037569824,0.990485252,256,512,64,160
160,0.097782642,0.975609756,0.06229473,0.990485252,256,512,128,160
160,0.082239838,0.984478936,0.043151792,0.990485252,512,128,64,160
320,0.097732949,0.977827051,0.060908291,0.990485252,64,64,128,320
320,0.086813147,0.981152993,0.051441501,0.990485252,16,32,64,320
320,0.111196333,0.975609756,0.069838624,0.990485252,64,8,128,320
320,0.083888912,0.981152993,0.055889254,0.990485252,64,16,64,320
320,0.103714314,0.978935699,0.0640014,0.990009515,256,128,256,320
320,0.123948075,0.970066522,0.076982724,0.990009515,64,256,256,320
320,0.108161218,0.975609757,0.069162943,0.990009515,128,256,256,320
320,0.099945853,0.976718404,0.067378799,0.990009515,128,64,256,320
320,0.073800011,0.984478936,0.058880115,0.990009515,8,32,64,320
160,0.085295789,0.981152993,0.055226713,0.989533778,256,64,64,160
320,0.101006372,0.971175166,0.068724723,0.989533778,32,16,128,320
320,0.095875488,0.976718404,0.068503498,0.989533778,8,256,128,320
160,0.107857491,0.981152993,0.065937247,0.989533777,128,64,64,160
320,0.121694394,0.972283814,0.075914281,0.989533777,32,32,128,320
160,0.071327315,0.982261641,0.047256551,0.989058041,512,8,64,160
160,0.07678148,0.981152993,0.047160755,0.989058041,512,32,64,160
160,0.098679269,0.977827051,0.059794135,0.98905804,256,16,64,160
320,0.085361497,0.983370288,0.0588456,0.98905804,8,128,64,320
320,0.114539357,0.973392465,0.08312026,0.98905804,256,64,256,320
160,0.109436478,0.983370288,0.060917619,0.98905804,512,128,128,160
320,0.096283994,0.975609756,0.05487934,0.988582303,32,256,128,320
320,0.102522711,0.971175168,0.059011485,0.988582303,128,128,256,320
160,0.120465814,0.973392461,0.077875985,0.988106566,512,8,128,160
320,0.116037208,0.973392463,0.073350453,0.988106565,256,16,256,320
160,0.143324457,0.977827051,0.061905014,0.988106565,128,128,64,160
160,0.129753403,0.971175166,0.083027834,0.988106565,32,128,64,160
80,0.142338117,0.984478936,0.083373944,0.988106565,512,512,64,80
320,0.091559435,0.975609756,0.061083499,0.988106565,16,16,64,320
160,0.112790751,0.976718404,0.071479509,0.988106565,128,32,64,160
320,0.12785056,0.965631932,0.075818487,0.987630828,64,128,256,320
320,0.102089596,0.973392461,0.065772765,0.987630828,16,256,128,320
320,0.100721024,0.976718406,0.075151987,0.987155091,256,8,256,320
320,0.099452851,0.977827051,0.069609385,0.987155091,8,16,64,320
160,0.108520318,0.975609756,0.064030251,0.987155091,128,8,64,160
160,0.110871862,0.974501109,0.06776023,0.987155091,64,256,64,160
320,0.108125589,0.972283816,0.072530753,0.987155091,256,32,256,320
160,0.076646577,0.980044346,0.063386383,0.987155091,512,16,64,160
320,0.074090813,0.980044346,0.059556465,0.98715509,8,64,64,320
320,0.096719841,0.980044346,0.057432201,0.986679354,8,256,64,320
320,0.111973987,0.974501111,0.082905486,0.986679353,32,64,256,320
160,0.141244562,0.973392461,0.09139549,0.986679353,128,128,128,160
160,0.121895391,0.975609756,0.078181493,0.986679353,512,64,128,160
160,0.089632244,0.978935698,0.056262798,0.986679353,256,8,64,160
160,0.140264277,0.972283814,0.0873477,0.986203616,128,256,128,160
320,0.10128335,0.978935698,0.074317459,0.986203616,8,64,128,320
320,0.089440032,0.972283817,0.061185955,0.986203616,512,8,256,320
160,0.137832901,0.977827051,0.074782295,0.986203616,64,128,64,160
160,0.140596593,0.967849224,0.091268455,0.986203616,32,512,128,160
320,0.164663097,0.968957859,0.090407199,0.986203616,256,512,512,320
320,0.131873733,0.972283816,0.086711204,0.986203616,128,32,256,320
160,0.114916405,0.971175166,0.066948332,0.986203615,16,256,64,160
160,0.124804401,0.975609756,0.078714482,0.985727879,64,64,64,160
160,0.176241977,0.968957871,0.09156698,0.985727878,16,512,64,160
160,0.171404023,0.975609756,0.087634339,0.985727878,128,512,128,160
320,0.156001357,0.97450111,0.096334472,0.985727878,128,16,256,320
160,0.13524986,0.966740576,0.081939862,0.985252141,64,512,128,160
320,0.118680174,0.973392463,0.089578234,0.985252141,64,64,256,320
160,0.099370813,0.968957871,0.066013217,0.985252141,128,16,64,160
320,0.171647622,0.963414623,0.095804414,0.985252141,256,256,512,320
160,0.170715323,0.974501109,0.091745928,0.985252141,512,32,128,160
320,0.101647664,0.972283814,0.077391811,0.985252141,16,32,128,320
320,0.09547509,0.971175167,0.070948764,0.985252141,512,256,512,320
320,0.120252901,0.966740577,0.086902218,0.985252141,512,64,512,320
320,0.122199006,0.972283817,0.084610942,0.984776404,32,256,256,320
80,0.12612929,0.967849224,0.099938901,0.984776404,128,512,64,80
320,0.107293639,0.973392449,0.078666148,0.984776403,512,128,512,320
320,0.127902862,0.968957874,0.074790741,0.984776403,8,512,256,320
160,0.115746765,0.972283814,0.086503897,0.984300666,256,64,128,160
160,0.102973576,0.978935698,0.054646346,0.984300666,256,256,128,160
320,0.119296569,0.970066519,0.085517275,0.984300665,32,8,128,320
160,0.091374897,0.976718404,0.074557965,0.983824929,8,128,64,160
160,0.115132787,0.972283814,0.075532927,0.983824929,512,16,128,160
160,0.109135368,0.966740576,0.090636772,0.983824929,256,128,128,160
320,0.130967052,0.96674058,0.092391418,0.983349192,32,512,256,320
320,0.110580439,0.971175166,0.074448719,0.983349192,16,64,128,320
320,0.126745565,0.968957874,0.10019344,0.983349192,128,8,256,320
80,0.175816546,0.966740576,0.099570137,0.983349191,256,256,64,80
160,0.175350567,0.970066523,0.102986356,0.983349191,256,512,256,160
160,0.163347644,0.966740578,0.091627692,0.982873454,512,128,256,160
160,0.182570572,0.966740576,0.104351904,0.982873453,64,256,128,160
80,0.118712142,0.973392461,0.086295648,0.982397717,512,128,64,80
160,0.116995155,0.966740576,0.078233098,0.982397716,32,256,64,160
80,0.158056581,0.973392461,0.090935275,0.98192198,256,512,64,80
320,0.135094126,0.968957872,0.105435075,0.981921979,256,128,512,320
160,0.123674689,0.968957871,0.095960552,0.981921979,128,64,128,160
320,0.136164936,0.967849227,0.101081786,0.981921979,64,16,256,320
320,0.10565469,0.978935698,0.087124784,0.981921979,8,8,64,320
160,0.147916107,0.976718404,0.095941478,0.981446242,64,32,64,160
160,0.11154855,0.977827051,0.087504807,0.981446242,64,16,64,160
160,0.151425253,0.972283814,0.09751547,0.981446242,256,32,128,160
320,0.138440095,0.96563193,0.100837785,0.981446241,128,512,512,320
320,0.152804303,0.962305989,0.096067681,0.980970505,16,512,256,320
160,0.110858369,0.974501109,0.08761615,0.980970505,16,64,64,160
160,0.127885869,0.966740572,0.095162744,0.980970504,512,256,256,160
320,0.142222972,0.966740565,0.091394775,0.980970504,512,32,512,320
160,0.166709523,0.967849224,0.118975763,0.98001903,64,128,128,160
80,0.111803248,0.967849224,0.081766535,0.980019029,512,16,64,80
320,0.136413711,0.968957859,0.104177096,0.980019029,256,32,512,320
80,0.185668292,0.971175166,0.102734269,0.979543293,512,512,128,80
80,0.159724096,0.973392461,0.099948037,0.979543292,512,64,64,80
80,0.131226365,0.973392461,0.090547601,0.979543292,512,256,64,80
160,0.146278315,0.960088692,0.088626838,0.979067555,8,512,64,160
320,0.123832997,0.967849224,0.102921543,0.978591818,16,8,128,320
320,0.152609602,0.967849212,0.115537076,0.978591818,128,256,512,320
320,0.136686636,0.968957873,0.110918533,0.978591818,64,32,256,320
160,0.155120942,0.963414636,0.105455935,0.978591818,512,64,256,160
160,0.114566456,0.968957871,0.088314177,0.978591818,64,8,64,160
160,0.127628912,0.972283814,0.106388713,0.978591817,16,128,64,160
160,0.132908044,0.967849224,0.103869303,0.97811608,32,32,64,160
160,0.115428831,0.976718404,0.087540385,0.97811608,32,64,64,160
160,0.129572489,0.964523282,0.105973236,0.97811608,32,16,64,160
320,0.145026813,0.962305975,0.109490925,0.97811608,256,64,512,320
160,0.18180144,0.961197342,0.120549687,0.97811608,256,256,256,160
320,0.13210927,0.956762749,0.106619516,0.97811608,8,128,128,320
320,0.129604409,0.965631917,0.100347501,0.97811608,512,16,512,320
320,0.134960041,0.965631917,0.102894395,0.977640343,512,8,512,320
80,0.157844344,0.966740576,0.115269977,0.977640343,128,256,64,80
160,0.118699076,0.965631929,0.100452585,0.977640343,256,16,128,160
160,0.13404139,0.967849224,0.109482519,0.977640343,256,8,128,160
320,0.14663769,0.965631932,0.10347374,0.976688868,32,128,256,320
320,0.161497017,0.96119734,0.121996841,0.975737394,256,8,512,320
160,0.137567144,0.965631929,0.113238844,0.975737394,32,256,128,160
80,0.14341734,0.970066519,0.105521839,0.975261656,256,128,64,80
320,0.137137574,0.965631932,0.103475987,0.974785919,16,256,256,320
320,0.151376037,0.967849224,0.111253756,0.974785918,16,16,128,320
320,0.136290848,0.970066519,0.118010168,0.974785918,8,16,128,320
160,0.153215587,0.963414634,0.118334333,0.973358707,16,256,128,160
80,0.203208864,0.966740576,0.140012423,0.973358706,512,256,128,80
160,0.155834001,0.962305987,0.119879896,0.972882969,128,32,128,160
80,0.18695815,0.964523282,0.142910218,0.972882969,256,512,128,80
160,0.14551273,0.965631929,0.114807394,0.972882969,32,8,64,160
80,0.123230124,0.968957871,0.101916386,0.972882969,512,32,64,80
160,0.173614403,0.962305983,0.134442606,0.972882969,512,16,256,160
80,0.201313677,0.962305987,0.128048893,0.972407232,256,64,64,80
320,0.166136554,0.956762753,0.13708534,0.972407231,64,8,256,320
160,0.153285769,0.964523282,0.127284094,0.972407231,128,16,128,160
160,0.151605224,0.970066519,0.124994958,0.971931494,128,8,128,160
160,0.172232312,0.963414638,0.124001606,0.971931494,256,128,256,160
80,0.153198715,0.963414634,0.132624208,0.971931494,512,8,64,80
80,0.163684066,0.963414634,0.1239118,0.971455757,128,128,64,80
160,0.122474061,0.966740576,0.105895689,0.971455757,8,64,64,160
160,0.195481136,0.962305989,0.143727845,0.970980018,128,256,256,160
160,0.157164037,0.961197339,0.118551435,0.970504282,16,128,128,160
160,0.150808694,0.961197339,0.107744954,0.970504282,8,256,64,160
320,0.152989155,0.962305987,0.124480888,0.970028544,8,32,128,320
320,0.165413997,0.955654106,0.122481666,0.970028544,32,32,256,320
160,0.139930759,0.967849227,0.1244672,0.970028544,512,32,256,160
160,0.198397077,0.961197343,0.144165639,0.969077069,128,512,256,160
160,0.158685514,0.961197339,0.124748446,0.968601332,16,32,64,160
160,0.164030976,0.960088695,0.139546654,0.968125595,512,8,256,160
80,0.222824699,0.958980044,0.15540079,0.968125595,128,32,64,80
160,0.171038658,0.956762749,0.146180771,0.96717412,64,64,128,160
80,0.169697483,0.960088692,0.148537642,0.96717412,64,128,64,80
80,0.168389063,0.958980044,0.118435372,0.966698383,64,512,64,80
80,0.171613303,0.964523282,0.135156906,0.966222645,256,16,64,80
320,0.201830847,0.954545456,0.157599386,0.966222645,32,512,512,320
320,0.175426682,0.964523283,0.15155123,0.965746908,16,16,256,320
80,0.17509259,0.961197339,0.143275293,0.965746908,512,128,128,80
160,0.201390067,0.95898004,0.14582531,0.965746907,256,64,256,160
320,0.153732663,0.965631929,0.136261494,0.965271171,8,8,128,320
320,0.189585534,0.954545443,0.154275212,0.965271171,64,128,512,320
80,0.206388451,0.961197339,0.161685363,0.96527117,128,64,64,80
320,0.17009841,0.961197327,0.13973133,0.96527117,256,16,512,320
320,0.186062816,0.96119734,0.160156122,0.964795433,64,512,512,320
80,0.186812172,0.956762749,0.147346605,0.964319696,512,16,128,80
320,0.17854947,0.954545443,0.144743362,0.963843959,128,64,512,320
160,0.188141335,0.955654098,0.166598125,0.963843957,256,32,256,160
160,0.158687361,0.962305987,0.141056175,0.962892484,64,32,128,160
80,0.159551894,0.964523282,0.141657404,0.962892483,256,32,64,80
80,0.205801564,0.954545455,0.163915056,0.962416747,512,64,128,80
80,0.213942121,0.955654102,0.150056472,0.962416746,256,256,128,80
160,0.160332373,0.958980044,0.141300585,0.962416746,32,128,128,160
80,0.17390697,0.956762749,0.14318654,0.962416745,256,8,64,80
320,0.189569188,0.9512195,0.167807628,0.961941009,128,16,512,320
160,0.19080012,0.953436811,0.148611017,0.961941008,64,512,256,160
160,0.196581666,0.946784922,0.145100957,0.961465272,16,512,128,160
320,0.185586474,0.955654103,0.151357573,0.961465271,64,256,512,320
160,0.174212375,0.958980044,0.145838575,0.960989534,64,16,128,160
80,0.237425462,0.949002217,0.165947037,0.960989534,128,512,128,80
80,0.210895703,0.966740576,0.15645214,0.960989534,64,256,64,80
320,0.193906386,0.941241689,0.159116413,0.96003806,16,128,256,320
80,0.214642699,0.946784922,0.171360338,0.959562321,64,64,64,80
160,0.185892528,0.953436807,0.160620077,0.959562321,32,32,128,160
320,0.182882651,0.943458984,0.142264042,0.958610846,8,128,256,320
320,0.198027355,0.953436795,0.161194434,0.95813511,128,128,512,320
160,0.18591101,0.95232816,0.154438442,0.95813511,8,256,128,160
160,0.171487529,0.953436807,0.150112252,0.95813511,16,16,64,160
160,0.197093969,0.953436807,0.159744826,0.958135109,32,64,128,160
